Source,Target,Distance
InstdelPetroleo,Politecnico,1188.0
InstdelPetroleo,AutobusesdelNorte,1067.0
InstdelPetroleo,Vallejo,755.0
InstdelPetroleo,Lindavista,1258.0
AutobusesdelNorte,LaRaza,975.0
AutobusesdelNorte,InstdelPetroleo,1067.0
Misterios,LaRaza,892.0
Misterios,ValleGomez,969.0
ValleGomez,Consulado,679.0
ValleGomez,Misterios,969.0
EduardoMolina,Consulado,815.0
EduardoMolina,Aragon,860.0
Aragon,EduardoMolina,860.0
Aragon,Oceania,1219.0
Oceania,Aragon,1219.0
Oceania,TerminalAerea,1174.0
Oceania,DeportivoOceania,863.0
Oceania,RomeroRubio,809.0
TerminalAerea,Oceania,1174.0
TerminalAerea,Hangares,1153.0
Hangares,Pantitlan,1644.0
Hangares,TerminalAerea,1153.0
ElRosario,Tezozomoc,1257.0
ElRosario,AquilesSerdan,1615.0
Tezozomoc,ElRosario,1257.0
Tezozomoc,Azcapotzalco,973.0
Azcapotzalco,Tezozomoc,973.0
Azcapotzalco,Ferreria,1173.0
Ferreria,Azcapotzalco,1173.0
Ferreria,Norte45,1072.0
Norte45,Ferreria,1072.0
Norte45,Vallejo,660.0
Vallejo,InstdelPetroleo,755.0
Vallejo,Norte45,660.0
Lindavista,Deportivo18deMarzo,1075.0
Lindavista,InstdelPetroleo,1258.0
LaVillaBasilica,Deportivo18deMarzo,570.0
LaVillaBasilica,MartinCarrera,1141.0
AquilesSerdan,ElRosario,1615.0
AquilesSerdan,Camarones,1402.0
Camarones,AquilesSerdan,1402.0
Camarones,Refineria,952.0
Refineria,Tacuba,1295.0
Refineria,Camarones,952.0
SanJoaquin,Tacuba,1433.0
SanJoaquin,Polanco,1163.0
Polanco,SanJoaquin,1163.0
Polanco,Auditorio,812.0
Auditorio,Polanco,812.0
Auditorio,Constituyentes,1430.0
Constituyentes,Tacubaya,1005.0
Constituyentes,Auditorio,1430.0
SanPedrodelosPinos,Tacubaya,1084.0
SanPedrodelosPinos,SanAntonio,606.0
SanAntonio,SanPedrodelosPinos,606.0
SanAntonio,Mixcoac,788.0
Mixcoac,SanAntonio,788.0
Mixcoac,InsurgentesSur,651.0
Mixcoac,BarrancadelMuerto,1476.0
Garibaldi,BellasArtes,634.0
Garibaldi,Guerrero,757.0
Garibaldi,Lagunilla,474.0
SanJuandeLetran,SaltodelAgua,292.0
SanJuandeLetran,BellasArtes,456.0
Doctores,SaltodelAgua,564.0
Doctores,Obrera,761.0
Obrera,Chabacano,1143.0
Obrera,Doctores,761.0
LaViga,Chabacano,843.0
LaViga,SantaAnita,633.0
Coyuya,SantaAnita,968.0
Coyuya,Iztacalco,993.0
Iztacalco,Coyuya,993.0
Iztacalco,Apatlaco,910.0
Apatlaco,Iztacalco,910.0
Apatlaco,Aculco,534.0
Aculco,Apatlaco,534.0
Aculco,Escuadron201,789.0
Escuadron201,Aculco,789.0
Escuadron201,Atlalilco,1738.0
