num1,num,linea,id,lat,lng
0,1,1,Observatorio,19.398237,-99.200363
1,2,1,Tacubaya,19.403439,-99.187102
2,3,1,Juanacatlan,19.41289,-99.182167
3,4,1,Chapultepec,19.42083,-99.176943
4,5,1,Sevilla,19.421916,-99.17058
5,6,1,Insurgentes,19.423292,-99.163177
6,7,1,Cuauhtemoc,19.425862,-99.154701
7,8,1,Balderas,19.42744,-99.149036
8,9,1,SaltodelAgua,19.426813,-99.142213
9,10,1,IsabellaCatolica,19.426732,-99.137685
10,11,1,PinoSuarez,19.425336,-99.132943
11,12,1,Merced,19.425558,-99.124639
12,13,1,Candelaria,19.428837,-99.119511
13,14,1,SanLazaro,19.430213,-99.114833
14,15,1,Moctezuma,19.427218,-99.110305
15,16,1,Balbuena,19.423231,-99.102302
16,17,1,BlvdPuertoAereo,19.41967,-99.09595
17,18,1,GomezFarias,19.416472,-99.09035
18,19,1,Zaragoza,19.412344,-99.08241
19,20,1,Pantitlan,19.415359,-99.072132
20,21,2,CuatroCaminos,19.459592,-99.215899
21,22,2,Panteones,19.458763,-99.203153
22,23,2,Tacuba,19.459349,-99.189205
23,24,2,Cuitlahuac,19.457448,-99.182038
24,25,2,Popotla,19.452147,-99.1747
25,26,2,ColegioMilitar,19.449354,-99.172254
26,27,2,Normal,19.4444,-99.1674
27,28,2,SanCosme,19.441706,-99.161096
28,29,2,Revolucion,19.441706,-99.161096
29,30,2,Hidalgo,19.437295,-99.147105
30,31,2,BellasArtes,19.436243,-99.141945
31,32,2,Allende,19.435514,-99.137406
32,33,2,Zocalo,19.433248,-99.1329
33,34,2,PinoSuarez,19.425336,-99.132943
34,35,2,SanAntonioAbad,19.418597,-99.134145
35,36,2,Chabacano,19.406438,-99.135754
36,37,2,Viaducto,19.400808,-99.136891
37,38,2,Xola,19.3952,-99.1377
38,39,2,VilladeCortes,19.38753,-99.138994
39,40,2,Nativitas,19.379474,-99.140217
40,41,2,Portales,19.3698,-99.1416
41,42,2,Ermita,19.361883,-99.142942
42,43,2,GeneralAnaya,19.353259,-99.145002
43,44,2,Tasquena,19.344168,-99.142685
44,45,3,IndiosVerdes,19.495358,-99.119468
45,46,3,Deportivo18deMarzo,19.483747,-99.126549
46,47,3,Potrero,19.47691,-99.132171
47,48,3,LaRaza,19.470153,-99.136891
48,49,3,Tlatelolco,19.454979,-99.142814
49,50,3,Guerrero,19.445146,-99.145389
50,51,3,Hidalgo,19.437295,-99.147105
51,52,3,Juarez,19.433167,-99.147792
52,53,3,Balderas,19.42744,-99.149036
53,54,3,NinosHeroes,19.419508,-99.150581
54,55,3,HospitalGeneral,19.413578,-99.153886
55,56,3,CentroMedico,19.406637,-99.155753
56,57,3,Etiopia,19.395586,-99.156268
57,58,3,Eugenia,19.406637,-99.155753
58,59,3,DivisiondelNorte,19.380021,-99.158885
59,60,3,Zapata,19.370952,-99.164937
60,61,3,Coyoacan,19.361417,-99.170709
61,62,3,Viveros,19.353724,-99.176052
62,63,3,MiguelAdeQuevedo,19.346395,-99.18103
63,64,3,Copilco,19.335887,-99.176652
64,65,3,Universidad,19.324427,-99.17397
65,66,4,MartinCarrera,19.484921,-99.104404
66,67,4,Talisman,19.47428,-99.108009
67,68,4,Bondojito,19.46461,-99.111958
68,69,4,Consulado,19.457893,-99.113932
69,70,4,CanaldelNorte,19.449112,-99.116507
70,71,4,Morelos,19.438974,-99.118266
71,72,4,Candelaria,19.428837,-99.119511
72,73,4,FrayServando,19.421633,-99.120541
73,74,4,Jamaica,19.409004,-99.122171
74,75,4,SantaAnita,19.40273,-99.121699
75,76,5,Politecnico,19.50082,-99.149294
76,77,5,InstdelPetroleo,19.489573,-99.14526
77,78,5,AutobusesdelNorte,19.478973,-99.140668
78,79,5,LaRaza,19.470153,-99.136891
79,80,5,Misterios,19.463315,-99.130797
80,81,5,ValleGomez,19.458742,-99.119296
81,82,5,Consulado,19.457893,-99.113932
82,83,5,EduardoMolina,19.451378,-99.105434
